Action,Side,Symbol,Size,Spot Entry Price,Spot Exit Price,Futures Entry Price,Futures Exit Price,Entry Time,Exit Time,Spot PnL (USD),Futures PnL (USD),Total Net PnL (USD),Holding Duration (minutes)
OPEN,LONG,FLMUSDT,1461.988,0.0342,,0.0342,,,,,,,
CLOSE,LONG,FLMUSDT,1461.988,0.03,0.03,0.03,0.03,2025-05-04 17:32:05,2025-05-04 17:32:20,-0.29,0.29,-0.08,0.25
OPEN,LONG,FLMUSDT,1466.276,0.0341,,0.0341,,,,,,,
CLOSE,LONG,FLMUSDT,1466.276,0.03,0.03,0.03,0.03,2025-05-04 17:33:06,2025-05-04 17:33:12,0.0,0.04,-0.04,0.11
OPEN,LONG,FLMUSDT,1466.276,0.0341,,0.0341,,,,,,,
CLOSE,LONG,FLMUSDT,1466.276,0.03,0.03,0.03,0.03,2025-05-04 17:33:16,2025-05-04 17:33:22,0.0,0.02,-0.06,0.1
OPEN,LONG,FLMUSDT,1466.276,0.0341,,0.0341,,,,,,,
CLOSE,LONG,FLMUSDT,1466.276,0.03,0.03,0.03,0.03,2025-05-04 17:33:26,2025-05-04 17:33:32,0.15,-0.08,-0.01,0.1
OPEN,LONG,FLMUSDT,1461.988,0.0342,,0.0342,,,,,,,
CLOSE,LONG,FLMUSDT,1461.988,0.03,0.03,0.03,0.03,2025-05-04 17:33:36,2025-05-04 17:33:42,-0.15,0.0,-0.23,0.1
OPEN,LONG,FLMUSDT,1466.276,0.0341,,0.0341,,,,,,,
CLOSE,LONG,FLMUSDT,1466.276,0.03,0.03,0.03,0.03,2025-05-04 17:33:46,2025-05-04 17:33:54,0.0,-0.01,-0.09,0.13
OPEN,LONG,FLMUSDT,1461.988,0.0342,,0.0342,,,,,,,
CLOSE,LONG,FLMUSDT,1461.988,0.03,0.03,0.03,0.03,2025-05-04 17:40:05,2025-05-04 17:40:10,0.0,0.0,-0.12,0.09
OPEN,LONG,FLMUSDT,1457.726,0.0343,,0.0343,,,,,,,
CLOSE,LONG,FLMUSDT,1457.726,0.03,0.03,0.03,0.03,2025-05-04 17:40:43,2025-05-04 17:40:48,0.15,0.05,0.08,0.1
OPEN,LONG,FLMUSDT,1453.488,0.0344,,0.0344,,,,,,,
CLOSE,LONG,FLMUSDT,1453.488,0.03,0.03,0.03,0.03,2025-05-04 17:41:03,2025-05-04 17:41:12,0.0,0.03,-0.09,0.15
OPEN,LONG,FLMUSDT,1453.488,0.0344,,0.0344,,,,,,,
CLOSE,LONG,FLMUSDT,1453.488,0.03,0.03,0.03,0.03,2025-05-04 17:41:15,2025-05-04 17:41:21,0.0,0.05,-0.07,0.09
OPEN,LONG,FLMUSDT,1453.488,0.0344,,0.0344,,,,,,,
CLOSE,LONG,FLMUSDT,1453.488,0.03,0.03,0.03,0.03,2025-05-04 17:41:31,2025-05-04 17:41:36,0.15,0.0,0.03,0.09
OPEN,LONG,FLMUSDT,1449.275,0.0345,,0.0345,,,,,,,
CLOSE,LONG,FLMUSDT,1449.275,0.03,0.03,0.03,0.03,2025-05-04 17:44:22,2025-05-04 17:44:28,0.0,0.0,-0.12,0.1
OPEN,LONG,FLMUSDT,1445.087,0.0346,,0.0346,,,,,,,
CLOSE,LONG,FLMUSDT,1445.087,0.03,0.03,0.03,0.03,2025-05-04 17:45:22,2025-05-04 17:45:28,-0.14,0.04,-0.23,0.1
OPEN,LONG,FLMUSDT,1445.087,0.0345,,0.0346,,,,,,,
CLOSE,LONG,FLMUSDT,1445.087,0.03,0.03,0.03,0.03,2025-05-04 17:46:01,2025-05-04 17:46:06,-0.14,0.14,-0.12,0.1
OPEN,LONG,FLMUSDT,1449.275,0.0345,,0.0345,,,,,,,
CLOSE,LONG,FLMUSDT,1449.275,0.03,0.03,0.03,0.03,2025-05-04 17:46:10,2025-05-04 17:46:16,0.0,0.0,-0.12,0.09
OPEN,LONG,FLMUSDT,1449.275,0.0345,,0.0345,,,,,,,
CLOSE,LONG,FLMUSDT,1449.275,0.03,0.03,0.03,0.03,2025-05-04 17:46:20,2025-05-04 17:46:25,0.0,0.0,-0.12,0.09
OPEN,LONG,FLMUSDT,1449.275,0.0345,,0.0345,,,,,,,
CLOSE,LONG,FLMUSDT,1449.275,0.03,0.03,0.03,0.03,2025-05-04 17:46:29,2025-05-04 17:46:34,0.0,0.0,-0.12,0.1
OPEN,LONG,FLMUSDT,1449.275,0.0345,,0.0345,,,,,,,
CLOSE,LONG,FLMUSDT,1449.275,0.03,0.03,0.03,0.03,2025-05-04 17:46:38,2025-05-04 17:46:43,0.0,0.01,-0.11,0.09
OPEN,LONG,FLMUSDT,1449.275,0.0345,,0.0345,,,,,,,
CLOSE,LONG,FLMUSDT,1449.275,0.03,0.03,0.03,0.03,2025-05-04 17:46:47,2025-05-04 17:46:53,0.14,0.02,0.04,0.1
